SchoolName,DistrictNumber,Student,InitialGrade,InitialPlan,FinalGrade,FinalPlan
LOMA LINDA ELEMENTARY SCHOOL,Longmont,1526,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
LONGS PEAK MIDDLE SCHOOL,Longmont,1527,6th Grade,Improvement Plan,8th Grade,Improvement Plan
HILLCREST ELEMENTARY SCHOOL,Northglenn,1528,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
FOSTER ELEMENTARY SCHOOL,Arvada,1529,Pre-Kindergarten,Improvement Plan,6th Grade,Improvement Plan
POLARIS EXPEDITIONARY LEARNING SCHOOL,Fort Collins,1530,6th Grade,Improvement Plan,12th Grade,Improvement Plan
CRESSON ELEMENTARY SCHOOL,Cripple Creek,1531,Pre-Kindergarten,Improvement Plan,6th Grade,Improvement Plan
TURNBERRY ELEMENTARY,Commerce City,1532,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
COLFAX ELEMENTARY SCHOOL,Denver,1533,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
FOX MEADOW MIDDLE SCHOOL,Colorado Springs,1534,6th Grade,Improvement Plan,8th Grade,Improvement Plan
CAMPBELL ELEMENTARY SCHOOL,Sterling,1535,3rd Grade,Improvement Plan,5th Grade,Improvement Plan
COLUMBINE ELEMENTARY SCHOOL,Woodland Park,1536,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
BRENTWOOD MIDDLE SCHOOL,Greeley,1537,6th Grade,Improvement Plan,8th Grade,Improvement Plan
MARTINEZ ELEMENTARY SCHOOL,Greeley,1538,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
FORT LUPTON MIDDLE SCHOOL,Fort Lupton,1539,6th Grade,Improvement Plan,8th Grade,Improvement Plan
GREEN VALLEY ELEMENTARY SCHOOL,Denver,1540,Pre-Kindergarten,Improvement Plan,5th Grade,Priority Improvement Plan
HENRY ELEMENTARY SCHOOL,Colorado Springs,1541,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
ASHLEY ELEMENTARY SCHOOL,Denver,1542,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
SAND CREEK ELEMENTARY SCHOOL,Colorado Springs,1543,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
PENROSE ELEMENTARY SCHOOL,Penrose,1544,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
CARBONDALE MIDDLE SCHOOL,Carbondale,1545,5th Grade,Improvement Plan,8th Grade,Improvement Plan
CARBONDALE MIDDLE SCHOOL,Carbondale,1546,5th Grade,Improvement Plan,8th Grade,Improvement Plan
TENNYSON KNOLLS ELEMENTARY SCHOOL,Arvada,1547,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
NORTHEAST ACADEMY CHARTER SCHOOL,Denver,1548,Kindergarten,Improvement Plan,8th Grade,Turnaround Plan
NORTHEAST ACADEMY CHARTER SCHOOL,Denver,1549,Kindergarten,Improvement Plan,8th Grade,Turnaround Plan
ADAMS CITY MIDDLE SCHOOL,Commerce City,1550,6th Grade,Improvement Plan,8th Grade,Improvement Plan
LYN KNOLL ELEMENTARY SCHOOL,Aurora,1551,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
MCKINLEY ELEMENTARY SCHOOL,Canon City,1552,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
EAGLETON ELEMENTARY SCHOOL,Denver,1553,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
ROMERO ELEMENTARY SCHOOL,Greeley,1554,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
ACHIEVE ACADEMY,Thornton,1555,Kindergarten,Improvement Plan,8th Grade,Improvement Plan
ACHIEVE ACADEMY,Thornton,1556,Kindergarten,Improvement Plan,8th Grade,Improvement Plan
SABLE ELEMENTARY SCHOOL,Aurora,1557,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
VAUGHN ELEMENTARY SCHOOL,Aurora,1558,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
CLARA E. METZ ELEMENTARY SCHOOL,Denver,1559,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
CALHAN ELEMENTARY SCHOOL,Calhan,1560,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
MONROE ELEMENTARY SCHOOL,Loveland,1561,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
HENDERSON ELEMENTARY SCHOOL,Henderson,1562,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
VIKAN MIDDLE SCHOOL,Brighton,1563,6th Grade,Improvement Plan,8th Grade,Improvement Plan
BUENA VISTA ELEMENTARY SCHOOL,Colorado Springs,1564,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
MOLHOLM ELEMENTARY SCHOOL,Lakewood,1565,Pre-Kindergarten,Improvement Plan,6th Grade,Improvement Plan
STRATTON MIDDLE SCHOOL,Stratton,1566,6th Grade,Improvement Plan,8th Grade,Improvement Plan
CHERAW ELEMENTARY SCHOOL,Cheraw,1567,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
RIDGEVIEW ELEMENTARY SCHOOL,Craig,1568,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
CRAWFORD ELEMENTARY SCHOOL,Aurora,1569,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
KENTON ELEMENTARY SCHOOL,Aurora,1570,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
FORD ELEMENTARY SCHOOL,Denver,1571,Pre-Kindergarten,Improvement Plan,5th Grade,Turnaround Plan
MC GLONE ELEMENTARY SCHOOL,Denver,1572,Pre-Kindergarten,Improvement Plan,5th Grade,Turnaround Plan
MESA ELEMENTARY SCHOOL,Fountain,1573,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
MADISON ELEMENTARY SCHOOL,Greeley,1574,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
BURLINGTON ELEMENTARY SCHOOL,Longmont,1575,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
NORTHRIDGE ELEMENTARY SCHOOL,Longmont,1576,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
COTOPAXI ELEMENTARY SCHOOL,Cotopaxi,1577,Infant,Improvement Plan,5th Grade,Improvement Plan
FOWLER JUNIOR HIGH SCHOOL,Fowler,1578,7th Grade,Improvement Plan,8th Grade,Improvement Plan
NORTH ELEMENTARY SCHOOL,Colorado Springs,1579,Kindergarten,Improvement Plan,6th Grade,Improvement Plan
SIXTH AVENUE ELEMENTARY SCHOOL,Aurora,1580,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
COLLEGE VIEW ELEMENTARY SCHOOL,Denver,1581,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
HARRINGTON ELEMENTARY SCHOOL,Denver,1582,Pre-Kindergarten,Improvement Plan,6th Grade,Improvement Plan
PRAIRIE VIEW MIDDLE SCHOOL,Henderson,1583,6th Grade,Improvement Plan,8th Grade,Improvement Plan
ENGLEWOOD MIDDLE SCHOOL,Englewood,1584,6th Grade,Improvement Plan,8th Grade,Improvement Plan
STEVENS ELEMENTARY SCHOOL,Wheat Ridge,1585,Kindergarten,Improvement Plan,6th Grade,Improvement Plan
MANZANOLA JUNIOR-SENIOR HIGH SCHOOL,Manzanola,1586,7th Grade,Improvement Plan,12th Grade,Improvement Plan
LINCOLN MIDDLE SCHOOL,Fort Collins,1587,6th Grade,Improvement Plan,8th Grade,Improvement Plan
NIVER CREEK MIDDLE SCHOOL,Denver,1588,6th Grade,Improvement Plan,8th Grade,Improvement Plan
ROCKY MOUNTAIN ELEMENTARY SCHOOL,Longmont,1589,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
CENTENNIAL JUNIOR HIGH SCHOOL,San Luis,1590,7th Grade,Improvement Plan,8th Grade,Improvement Plan
COLUMBIAN ELEMENTARY SCHOOL,Denver,1591,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
SKINNER MIDDLE SCHOOL,Denver,1592,6th Grade,Improvement Plan,8th Grade,Priority Improvement Plan
MOUNT GARFIELD MIDDLE SCHOOL,Clifton,1593,6th Grade,Improvement Plan,8th Grade,Improvement Plan
TAYLOR ELEMENTARY SCHOOL,Palisade,1594,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
SOUTH PARK ELEMENTARY SCHOOL,Pueblo,1595,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
QUEEN PALMER ELEMENTARY SCHOOL,Colorado Springs,1596,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
CUSTER MIDDLE SCHOOL,Westcliffe,1597,6th Grade,Improvement Plan,8th Grade,Improvement Plan
CLAYTON ELEMENTARY SCHOOL,Englewood,1598,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
PUTNAM ELEMENTARY SCHOOL,Fort Collins,1599,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
EVA R BACA ELEMENTARY SCHOOL,Pueblo,1600,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
FISHER'S PEAK ELEMENTARY SCHOOL,Trinidad,1601,2nd Grade,Improvement Plan,5th Grade,Improvement Plan
SOPRIS ELEMENTARY SCHOOL,Glenwood Springs,1602,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
DE BEQUE UNDIVIDED HIGH SCHOOL,De Beque,1603,7th Grade,Improvement Plan,12th Grade,Improvement Plan
HEATH MIDDLE SCHOOL,Greeley,1604,6th Grade,Improvement Plan,8th Grade,Improvement Plan
HIGHLAND PARK ELEMENTARY SCHOOL,Pueblo,1605,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
MONACO ELEMENTARY SCHOOL,Commerce City,1606,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
EVANS ELEMENTARY SCHOOL,Alamosa,1607,4th Grade,Improvement Plan,5th Grade,Priority Improvement Plan
CENTENNIAL ELEMENTARY SCHOOL,San Luis,1608,Pre-Kindergarten,Improvement Plan,6th Grade,Improvement Plan
CENTRAL ELEMENTARY SCHOOL,Commerce City,1609,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
RISHEL MIDDLE SCHOOL,Denver,1610,7th Grade,Improvement Plan,8th Grade,Turnaround Plan
CENTENNIAL ELEMENTARY SCHOOL,Evans,1611,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
KIT CARSON JUNIOR-SENIOR HIGH SCHOOL,Kit Carson,1612,6th Grade,Improvement Plan,12th Grade,Improvement Plan
EADS ELEMENTARY SCHOOL,Eads,1613,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
SUNSET ELEMENTARY SCHOOL,Craig,1614,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
CRYSTAL RIVER ELEMENTARY SCHOOL,Carbondale,1615,Pre-Kindergarten,Improvement Plan,4th Grade,Improvement Plan
IGNACIO JUNIOR HIGH SCHOOL,Ignacio,1616,7th Grade,Improvement Plan,8th Grade,Improvement Plan
GILPIN ELEMENTARY SCHOOL,Denver,1617,Pre-Kindergarten,Improvement Plan,8th Grade,Priority Improvement Plan
GILPIN ELEMENTARY SCHOOL,Denver,1618,Pre-Kindergarten,Improvement Plan,8th Grade,Priority Improvement Plan
FRONTIER CHARTER ACADEMY,Greeley,1619,Kindergarten,Improvement Plan,12th Grade,Improvement Plan
RIVERSIDE SCHOOL,New Castle,1620,5th Grade,Improvement Plan,8th Grade,Improvement Plan
OLGA A HELLBECK ELEMENTARY SCHOOL,Pueblo,1621,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
WALSH HIGH SCHOOL,Walsh,1622,7th Grade,Improvement Plan,12th Grade,Performance Plan
NEWLON ELEMENTARY SCHOOL,Denver,1623,Pre-Kindergarten,Improvement Plan,5th Grade,Performance Plan
EIBER ELEMENTARY SCHOOL,Lakewood,1624,Kindergarten,Improvement Plan,6th Grade,Improvement Plan
FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,Aurora,1625,4th Grade,Improvement Plan,8th Grade,Improvement Plan
FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,Aurora,1626,4th Grade,Improvement Plan,8th Grade,Improvement Plan
MRACHEK MIDDLE SCHOOL,Aurora,1627,6th Grade,Improvement Plan,8th Grade,Improvement Plan
BURLINGTON MIDDLE SCHOOL,Burlington,1628,5th Grade,Improvement Plan,8th Grade,Improvement Plan
BURLINGTON MIDDLE SCHOOL,Burlington,1629,5th Grade,Improvement Plan,8th Grade,Improvement Plan
THORNTON MIDDLE SCHOOL,Thornton,1630,6th Grade,Improvement Plan,8th Grade,Improvement Plan
HIGHLAND ELEMENTARY SCHOOL,Pierce,1631,Kindergarten,Improvement Plan,5th Grade,Improvement Plan
PRIMERO JUNIOR-SENIOR HIGH SCHOOL,Weston,1632,6th Grade,Improvement Plan,12th Grade,Improvement Plan
MONTE VISTA ON-LINE ACADEMY,Monte Vista,1633,6th Grade,Priority Improvement Plan,12th Grade,Improvement Plan
MERINO JUNIOR SENIOR HIGH SCHOOL,Merino,1634,7th Grade,Improvement Plan,12th Grade,Improvement Plan
ROCKY MOUNTAIN ELEMENTARY SCHOOL,Clifton,1635,Pre-Kindergarten,Improvement Plan,5th Grade,Improvement Plan
CALICHE ELEMENTARY SCHOOL,Iliff,1636,Pre-Kindergarten,Improvement Plan,6th Grade,Improvement Plan
PIKES PEAK SCHOOL EXPEDITIONARY LEARNING,Falcon,1637,Kindergarten,Priority Improvement Plan,8th Grade,Priority Improvement Plan
PIONEER ELEMENTARY SCHOOL,Fort Morgan,1638,1st Grade,Priority Improvement Plan,4th Grade,Priority Improvement Plan
JEFFERSON COUNTY OPEN ELEMENTARY SCHOOL,Lakewood,1639,Pre-Kindergarten,Priority Improvement Plan,6th Grade,Priority Improvement Plan
CENTENNIAL K-8 SCHOOL,Denver,1640,Pre-Kindergarten,Priority Improvement Plan,8th Grade,Priority Improvement Plan
CENTENNIAL K-8 SCHOOL,Denver,1641,Pre-Kindergarten,Priority Improvement Plan,8th Grade,Priority Improvement Plan
TAYLOR ELEMENTARY SCHOOL,Colorado Springs,1642,Kindergarten,Priority Improvement Plan,5th Grade,Improvement Plan
FRANKLIN MIDDLE SCHOOL,Greeley,1643,6th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
FLORIDA MESA ELEMENTARY SCHOOL,Durango,1644,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
PARK VIEW ELEMENTARY SCHOOL,Pueblo,1645,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
CARMEL MIDDLE SCHOOL,Colorado Springs,1646,6th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
MONTEREY COMMUNITY SCHOOL,Denver,1647,Kindergarten,Priority Improvement Plan,8th Grade,Improvement Plan
MONTEREY COMMUNITY SCHOOL,Denver,1648,Kindergarten,Priority Improvement Plan,8th Grade,Improvement Plan
SHAW HEIGHTS MIDDLE SCHOOL,Westminster,1649,6th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
SEVENTH STREET ELEMENTARY SCHOOL,Dove Creek,1650,Pre-Kindergarten,Priority Improvement Plan,6th Grade,Priority Improvement Plan
CHELTENHAM ELEMENTARY SCHOOL,Denver,1651,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Turnaround Plan
FAIRMONT K-8 SCHOOL,Denver,1652,Pre-Kindergarten,Priority Improvement Plan,8th Grade,Priority Improvement Plan
FAIRMONT K-8 SCHOOL,Denver,1653,Pre-Kindergarten,Priority Improvement Plan,8th Grade,Priority Improvement Plan
JACKSON ELEMENTARY SCHOOL,Greeley,1654,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
BENNETT ELEMENTARY SCHOOL,Bennett,1655,Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
KEPNER MIDDLE SCHOOL,Denver,1656,6th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
RONCALLI MIDDLE SCHOOL,Pueblo,1657,6th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
BIRCH ELEMENTARY SCHOOL,Broomfield,1658,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
OAKLAND ELEMENTARY SCHOOL,Denver,1659,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Turnaround Plan
IDALIA ELEMENTARY SCHOOL,Idalia,1660,Pre-Kindergarten,Priority Improvement Plan,6th Grade,Priority Improvement Plan
MEADOW COMMUNITY SCHOOL,Thornton,1661,Kindergarten,Priority Improvement Plan,8th Grade,Priority Improvement Plan
MEADOW COMMUNITY SCHOOL,Thornton,1662,Kindergarten,Priority Improvement Plan,8th Grade,Priority Improvement Plan
HERITAGE MIDDLE SCHOOL,Longmont,1663,6th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
EAST MEMORIAL ELEMENTARY SCHOOL,Greeley,1664,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
JEFFERSON COUNTY OPEN SECONDARY,Lakewood,1665,7th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
GLOBAL LEADERSHIP ACADEMY,Denver,1666,Kindergarten,Priority Improvement Plan,12th Grade,Priority Improvement Plan
GLOBAL LEADERSHIP ACADEMY,Denver,1667,Kindergarten,Priority Improvement Plan,12th Grade,Priority Improvement Plan
MCAULIFFE ELEMENTARY,Colorado Springs,1668,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
CENTAURI MIDDLE SCHOOL,La Jara,1669,6th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
SANCHEZ ELEMENTARY SCHOOL,Lafayette,1670,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
PENROSE ELEMENTARY SCHOOL,Colorado Springs,1671,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
HENRY WORLD SCHOOL GRADES 6-8,Denver,1672,6th Grade,Priority Improvement Plan,8th Grade,Turnaround Plan
HARRIS PARK ELEMENTARY SCHOOL,Westminster,1673,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
FREMONT ELEMENTARY SCHOOL,Florence,1674,Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
FREMONT MIDDLE SCHOOL,Florence,1675,6th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
CHATFIELD ELEMENTARY SCHOOL,Grand Junction,1676,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
SOROCO MIDDLE SCHOOL,Oak Creek,1677,6th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
FULTON ELEMENTARY SCHOOL,Aurora,1678,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
SWANSEA ELEMENTARY SCHOOL,Denver,1679,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
PARIS ELEMENTARY SCHOOL,Aurora,1680,Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
SHERIDAN MIDDLE SCHOOL,Englewood,1681,6th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
DUPONT ELEMENTARY SCHOOL,Commerce City,1682,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
PUEBLO WEST MIDDLE SCHOOL,Pueblo West,1683,6th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
FEDERAL HEIGHTS ELEMENTARY SCHOOL,Denver,1684,Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
ROCKY MOUNTAIN ELEMENTARY SCHOOL,Westminster,1685,Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
WHEELING ELEMENTARY SCHOOL,Aurora,1686,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
LINCOLN ELEMENTARY SCHOOL,Colorado Springs,1688,Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
SPACE TECHNOLOGY AND ARTS ACADEMY (STAR ACADEMY),Colorado Springs,1689,Kindergarten,Priority Improvement Plan,7th Grade,Priority Improvement Plan
SPACE TECHNOLOGY AND ARTS ACADEMY (STAR ACADEMY),Colorado Springs,1690,Kindergarten,Priority Improvement Plan,7th Grade,Priority Improvement Plan
NOEL MIDDLE SCHOOL,Denver,1691,6th Grade,Priority Improvement Plan,8th Grade,Turnaround Plan
CREIGHTON MIDDLE SCHOOL,Lakewood,1692,7th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
ROCKY MOUNTAIN DEAF SCHOOL,Golden,1693,Pre-Kindergarten,Alternative Ed. Campus,8th Grade,Improvement Plan
WHEAT RIDGE MIDDLE SCHOOL,Wheat Ridge,1694,7th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
BENJAMIN FRANKLIN ELEMENTARY SCHOOL,Pueblo,1695,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
GLENWOOD SPRINGS ELEMENTARY SCHOOL,Glenwood Springs,1696,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
SKYLINE VISTA ELEMENTARY SCHOOL,Denver,1697,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
WESTMINSTER ELEMENTARY SCHOOL,Westminster,1698,Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
SCHOLARS TO LEADERS ACADEMY,Colorado Springs,1699,Kindergarten,Priority Improvement Plan,8th Grade,Priority Improvement Plan
SCHOLARS TO LEADERS ACADEMY,Colorado Springs,1700,Kindergarten,Priority Improvement Plan,8th Grade,Priority Improvement Plan
WEST ELEMENTARY SCHOOL,Colorado Springs,1701,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
ESCUELA TLATELOLCO SCHOOL,Denver,1702,7th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
STRATTON MEADOWS ELEMENTARY SCHOOL,Colorado Springs,1703,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
PEAKVIEW SCHOOL,Walsenburg,1704,Pre-Kindergarten,Priority Improvement Plan,7th Grade,Priority Improvement Plan
PEAKVIEW SCHOOL,Walsenburg,1705,Pre-Kindergarten,Priority Improvement Plan,7th Grade,Priority Improvement Plan
MC ELWAIN ELEMENTARY SCHOOL,Thornton,1706,Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
RIM ROCK ELEMENTARY SCHOOL,Fruita,1707,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
TWAIN ELEMENTARY SCHOOL,Colorado Springs,1708,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
JOHN MALL JUNIOR-SENIOR HIGH SCHOOL,Walsenburg,1709,8th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
CORONADO HILLS ELEMENTARY SCHOOL,Thornton,1710,Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
NORTH STAR ELEMENTARY SCHOOL,Denver,1711,Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
AMESSE ELEMENTARY SCHOOL,Denver,1712,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
COLUMBIAN ELEMENTARY SCHOOL,Pueblo,1713,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
COLORADO VIRTUAL ACADEMY (COVA),Northglenn,1714,Kindergarten,Turnaround Plan,12th Grade,Priority Improvement Plan
COLUMBINE ELEMENTARY SCHOOL,Boulder,1715,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
HAYDEN MIDDLE SCHOOL,Hayden,1716,6th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
STRATTON ELEMENTARY SCHOOL,Stratton,1717,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
GUADALUPE ELEMENTARY SCHOOL,Antonito,1718,Pre-Kindergarten,Priority Improvement Plan,6th Grade,Priority Improvement Plan
LAKE COUNTY MIDDLE SCHOOL,Leadville,1719,5th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
LAKE COUNTY MIDDLE SCHOOL,Leadville,1720,5th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
SIERRA GRANDE MIDDLE SCHOOL,Blanca,1721,6th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
KUNSMILLER CREATIVE ARTS ACADEMY,Denver,1722,Kindergarten,Priority Improvement Plan,8th Grade,Turnaround Plan
KUNSMILLER CREATIVE ARTS ACADEMY,Denver,1723,Kindergarten,Priority Improvement Plan,8th Grade,Turnaround Plan
SANDROCK ELEMENTARY,Craig,1724,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
CHARLES M. SCHENCK (CMS) COMMUNITY SCHOOL,Denver,1725,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
LAREDO ELEMENTARY SCHOOL,Aurora,1726,Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
TREVISTA ECE-8 AT HORACE MANN,Denver,1727,Pre-Kindergarten,Priority Improvement Plan,8th Grade,Priority Improvement Plan
TREVISTA ECE-8 AT HORACE MANN,Denver,1728,Pre-Kindergarten,Priority Improvement Plan,8th Grade,Priority Improvement Plan
KARVAL ONLINE EDUCATION,Karval,1729,Kindergarten,Priority Improvement Plan,12th Grade,Priority Improvement Plan
KARVAL ONLINE EDUCATION,Karval,1730,Kindergarten,Priority Improvement Plan,12th Grade,Priority Improvement Plan
COLORADO VIRTUAL ACADEMY (COVA),Northglenn,1731,Kindergarten,Turnaround Plan,12th Grade,Priority Improvement Plan
POMONA ELEMENTARY SCHOOL,Montrose,1732,Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
W H HEATON MIDDLE SCHOOL,Pueblo,1733,6th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
PUEBLO WEST ELEMENTARY SCHOOL,Pueblo West,1734,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
SOUTH ROUTT ELEMENTARY SCHOOL,Yampa,1735,Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
STUKEY ELEMENTARY SCHOOL,Northglenn,1736,Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
PARK LANE ELEMENTARY SCHOOL,Aurora,1737,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
AGUILAR JUNIOR-SENIOR HIGH SCHOOL,Aguilar,1738,7th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
CHEYENNE WELLS MIDDLE SCHOOL,Cheyenne Wells,1739,6th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
HUNT ELEMENTARY SCHOOL,Colorado Springs,1740,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
GENOA-HUGO MIDDLE SCHOOL,Hugo,1741,6th Grade,Priority Improvement Plan,8th Grade,Priority Improvement Plan
LIBERTY ELEMENTARY SCHOOL,Joes,1742,Pre-Kindergarten,Priority Improvement Plan,6th Grade,Priority Improvement Plan
BRADFORD ELEMENTARY SCHOOL,Pueblo,1743,Pre-Kindergarten,Turnaround Plan,5th Grade,Turnaround Plan
CRIPPLE CREEK-VICTOR JUNIOR-SENIOR HIGH SCHOOL,Cripple Creek,1744,7th Grade,Priority Improvement Plan,12th Grade,Priority Improvement Plan
IOWA ELEMENTARY SCHOOL,Aurora,1745,Pre-Kindergarten,Priority Improvement Plan,5th Grade,Priority Improvement Plan
